_id,singkat,hasil
1,abis,habis
2,accent,tekanan
3,accept,terima
4,accident,kecelakaan
5,achievement,prestasi
6,acra,acara
7,acrany,acaranya
8,acrnya,acaranya
9,action,aksi
10,active,aktif
11,activity,aktivitas
12,actually,sebenarnya
13,actualy,sebenarnya
14,ad,ada
15,ade,ada
16,adult,dewasa
17,adventure,petualangan
18,adventurer,petualang
19,advice,nasehat
20,after,setelah
21,afternun,sore
22,again,lagi
23,agency,perwakilan
24,agent,agen
25,agk,agak
26,agktn,angkatan
27,agree,setuju
28,agreement,persetujuan
29,aing,saya
30,aj,saja
31,aja,saja
32,ajah,saja
33,aje,saja
34,ajeh,saja
35,ajk,ajak
36,ak,saya
37,akeh,banyak
38,akhire,akhirnya
39,aktifkn,aktifkan
40,aku,saya
41,alhamdlh,alhamdulillah
42,alhamdulilah,alhamdulillah
43,almost,hampir
44,almt,alamat
45,alone,sendiri
46,alsn,alasan
47,also,juga
48,always,selalu
49,ama,sama
50,amazing,mengagumkan
51,ampe,sampai
52,amu,kamu
53,amuh,kamu
54,ancen,memang
55,ancur,hancur
56,ane,saya
57,anget,hangat
58,aple,apple
59,aplksi,aplikasi
60,aproved,diterima
61,aq,saya
62,aqoe,saya
63,aqu,saya
64,aqw,saya
65,arep,mau
66,arived,tiba
67,article,artikel
68,artine,artinya
69,asignment,tugas
70,assistance,bantuan
71,assistant,asisten
72,asyek,asyik
73,ats,atas
74,atu,satu-satu
75,atw,atau
76,automatic,otomatis
77,aya,ada
78,b,bb
79,"b\kesinambungn""",berkesinambungan
80,babeh,ayah
81,balasanya,balasannya
82,bales,balas
83,banga,bangga
84,batre,baterai
85,bbrapa,beberapa
86,bbrp,beberapa
87,bbrpa,beberapa
88,bdg,bandung
89,beach,pantai
90,before,sebelum
91,begete,banget
92,bego,bodoh
93,belike,belikan
94,bengi,malam
95,benjol,memar
96,beraktifitas,beraktivitas
97,berjln,berjalan
98,berkmmpuan,berkemampuan
99,bersaman,bersamaan
100,bet,banget
101,beter,better
102,between,antara
103,Bgm,bagaimana
104,bgmn,bagaimana
105,bgmna,bagaimana
106,bgn,bangun
107,bgt,banget
108,bgtu,begitu
109,bhs,bahasa
110,bimbel,bimbingan belajar
111,birthday,ulang tahun
112,bis,habis
113,bjln,berjalan
114,bklan,bakalan
115,bkn,bukan
116,blackbery,blackberry
117,blg,bilang
118,blk,balik
119,blm,belum
120,bln,bulan
121,blng,bilang
122,blnja,belanja
123,blom,belum
124,blon,belum
125,bls,balas
126,blsanya,balasannya
127,blum,belum
128,bm,bbm
129,bnar,benar
130,bner,benar
131,bnr,benar
132,bnrn,beneran
133,bntr,sebentar
134,bntu,bantu
135,bnuh,bunuh
136,bnyk,banyak
137,bobonya,tidurnya
138,bodo,bodoh
139,bokap,ayah
140,bole,boleh
141,boong,bohong
142,boring,bosan
143,bpak,bapak
144,bpk,bapak
145,brangcut,berangkat
146,brangkt,berangkat
147,brenang,berenang
148,brg,barang
149,brp,berapa
150,brpa,berapa
151,brsih,bersih
152,bru,baru
153,bs,bisa
154,bsa,bisa
155,bsar,besar
156,bsh,basah
157,bsk,besok
158,bsok,besok
159,bsr,besar
160,bth,butuh
161,btuh,butuh
162,btul,betul
163,btw,ngomong ngomong
164,buanged,banget
165,buangedh,banget
166,buanget,banget
167,buktiin,buktikan
168,buktin,buktikan
169,buln,bulan
170,bungks,bungkus
171,bw,bawa
172,bwa,bawa
173,bwah,bawah
174,bwat,untuk
175,bwh,bawah
176,bwt,untuk
177,byar,bayar
178,byk,banyak
179,byr,bayar
180,cabe,cabai
181,cadas,cerdas
182,cah,bocah
183,call,telepon
184,can,dapat
185,cape,capek
186,"car
",mobil
187,career,karir
188,caution,perhatian
189,cb,coba
190,Ceman,teman
191,cemungudh,semangat
192,Cemungut,semangat
193,cepet,cepat
194,cew,cewek
195,cewe,cewek
196,check,cek
197,ciapa,siapa
198,cibuk,sibuk
199,cinto,cinta
200,cius,serius
201,ciusan,seriusan
202,ciyus,serius
203,clananya,celananya
204,cm,cuma
205,cmpakan,campakkan
206,cmpakin,campakkan
207,cnd,canda
208,cnda,canda
209,cnggih,canggih
210,cngih,canggih
211,cnt,cinta
212,cnta,cinta
213,cntik,cantik
214,cntk,cantik
215,cntre,tengah
216,co,cowok
217,coach,pelatih
218,coaster,alas
219,cocokin,cocokkan
220,cocoknyo,cocoknya
221,coconut,kelapa
222,cod,bayar saat pengiriman
223,coding,mengkode
224,coklat,cokelat
225,colecting,mengoleksi
226,colection,koleksi
227,colongin,curikan
228,colonial,kolonial
229,color,warna
230,colorful,berwarna-warni
231,colour,warna
232,comeback,datang kembali
233,comedy,komedi
234,comendable,patut dihargai
235,coment,komen
236,comercial,komersil
237,comes,datang
238,comfirm,konfirmasi
239,Comfort,nyaman
240,comfortable,menyenangkan
241,comic,komik
242,coming,datang
243,comingson,segera datang
244,comingsoon,segera datang
245,commando,prajurit
246,commendable,patut dihargai
247,comment,komen
248,commentary,uraian
249,commercial,komersil
250,community,komunita
251,communityny,komunitanya
252,company,perusahaan
253,competition,persaingan
254,complain,mengeluh
255,complete,lengkap
256,completes,lengkap
257,compliment,pujian
258,compose,menyusun
259,computing,menghitung
